date,nav,daily_ret,gross_ret,cost_pct,drawdown,gross_exp,net_exp,n_long,n_short,port_vol_ann,btc_vol_fast,btc_vol_slow,fast_scale,slow_scale,regime_scale,paused,btc_mom,short_scale,gate_active,disp_scale,ic_scale
2022-01-30,100877.92985168831,0.008779298516882998,0.009339298516882998,0.00056,0.0,0.7999999999999999,-1.3877787807814457e-17,8,2,0.15021550480111318,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False,1.0,1.0
2022-01-31,100254.65020329789,-0.00617855312164688,-0.00561855312164688,0.0005600000000000001,-0.006178553121646882,1.4756255741383832,0.009339298516882935,6,5,0.14988516407168267,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False,1.0,1.0
2022-02-01,100820.89403867164,0.005648055568749337,0.006079836314150684,0.000431780745401347,-0.0005653943642630855,1.9982989638393633,0.0032333549732228434,5,6,0.14946993894877372,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False,1.0,1.0
2022-02-02,99380.39131246346,-0.014287740055703603,-0.01412637312561741,0.0001613669300861928,-0.014845056212261221,1.9555746835644892,-0.051517860327001216,5,6,0.15146115775939825,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False,1.0,1.0
2022-02-03,95947.10045698269,-0.03454696454842987,-0.034403555770290334,0.00014340877813953442,-0.04887916913000668,1.9736222204599534,-0.006304834339045662,6,5,0.166374777657939,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False,1.0,1.0
2022-02-04,97372.0091760939,0.014850982596916036,0.015390086338006542,0.0005391037410905062,-0.034754090223192084,1.8528895515925614,-0.010856591667201682,5,6,0.16818818404428848,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False,1.0,1.0
2022-02-05,96982.80536469675,-0.003997081036843822,-0.00362570530696608,0.0003713757298777415,-0.038612256345052054,1.7713086808273293,-0.012407587379727941,7,4,0.16741964806059942,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False,1.0,1.0
2022-02-06,94159.99949246921,-0.029106250964926975,-0.028769382973194667,0.00033686799173231007,-0.06659464928647786,1.7756549229507863,-0.01624945311988618,5,6,0.17680235012034526,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False,1.0,1.0
2022-02-07,93483.93268464078,-0.0071799788813987015,-0.007018644701572955,0.0001613341798257461,-0.07329647999238545,1.6849072712564268,0.017054337490940402,5,6,0.17639772126238207,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False,1.0,1.0
2022-02-08,94310.71935942642,0.008844158039165073,0.008912980511034917,6.882247186984348e-05,-0.0651005676059874,1.6991838992528359,-0.03804232002501229,5,6,0.17631415443630927,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False,1.0,1.0
2022-02-09,94758.34436663585,0.004746279216718489,0.00478530640961754,3.9027192899051324e-05,-0.06066327386029368,1.6780864850788855,0.026623793198953097,5,6,0.17556782896791825,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False,1.0,1.0
2022-02-10,95711.75652619386,0.01006151137327908,0.010202468468066786,0.00014095709478770688,-0.051212126706900236,1.6814103656477832,0.0090692276472054,6,5,0.17576811348197988,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False,1.0,1.0
2022-02-11,93692.98502348574,-0.021092199913347424,-0.020961196065849824,0.000131003847497601,-0.07122415020575802,1.6731017206287704,-0.03369249851016702,7,4,0.1800130213225951,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False,1.0,1.0
2022-02-12,94513.53122762528,0.008757818997162348,0.00878791011603313,3.0091118870782447e-05,-0.06309009942432435,1.6421095579952978,-0.05174417653929736,7,4,0.17987229208946606,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False,1.0,1.0
2022-02-13,93777.67143161723,-0.0077857613238025685,-0.007743806669818805,4.1954653983762894e-05,-0.07038465629211416,1.6650686985346388,0.016978953553539886,7,4,0.17954541982275288,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False,1.0,1.0
2022-02-14,93415.59423810702,-0.0038610171054870215,-0.0037103240756241698,0.00015069302986285164,-0.07397391703569343,1.6705865464356664,-0.039548756047398215,6,5,0.1786862811725991,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False,1.0,1.0
2022-02-15,93257.43059688719,-0.0016931181834233444,-0.001544051576600623,0.00014906660682272144,-0.07554178863508451,1.6885887554792067,0.009668594226200797,6,5,0.1776909445380275,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False,1.0,1.0
2022-02-16,91193.74854495114,-0.022128875294200216,-0.022109600928606015,1.9274365594198705e-05,-0.09599900910907812,1.6954681489651398,0.03565935064131262,6,5,0.18238521974051222,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False,1.0,1.0
2022-02-17,90932.51449465602,-0.002864604805299318,-0.002744901065377098,0.00011970373992221985,-0.09858861469157962,1.6057435680128211,0.020579538094874904,6,5,0.1814295925371321,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False,1.0,1.0
2022-02-18,90847.22747849807,-0.0009379155149499294,-0.0007230162646031518,0.00021489925034677755,-0.0994340624152129,1.6084448497610797,-0.01954302441028268,6,5,0.18039485722730011,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False,1.0,1.0
2022-02-19,91315.28955892054,0.005152188937557368,0.0052218031947454035,6.961425718803561e-05,-0.0947941765540476,1.6689631341822664,-0.02964867098656243,7,4,0.17966583224215857,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False,1.0,1.0
2022-02-20,93362.70665479988,0.022421405065558706,0.022545392099225223,0.00012398703366651737,-0.07449819011886329,1.6105667432525144,-0.018069315873999084,6,5,0.18443599998955518,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False,1.0,1.0
2022-02-21,94080.7173000152,0.007690550873488246,0.007876500315418311,0.00018594944193006492,-0.06738057136646682,1.6487988802728741,0.039949104467538285,7,4,0.1840485815084814,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False,1.0,1.0
2022-02-22,93255.79295490062,-0.008768261645837074,-0.00867228827711345,9.597336872362312e-05,-0.07555802253271682,1.588142516721409,-0.04514954772072936,7,4,0.1838671426336695,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False,1.0,1.0
2022-02-23,94127.96884986377,0.00935251170278429,0.00942780548648022,7.529378369593047e-05,-0.06691216811990888,1.6062702914759017,0.053740712139200626,7,4,0.18380838849364087,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False,1.0,1.0
2022-02-24,93245.80083676355,-0.009372007320239734,-0.009164215364687416,0.00020779195555231783,-0.07565707411071573,1.6388929531675815,0.0067585198123868775,7,4,0.18375445507290228,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False,1.0,1.0
2022-02-25,91570.49090825871,-0.01796659917627431,-0.017804108619721048,0.00016249055655326308,-0.09226437296159316,1.6808081132899475,0.004554431840353437,7,4,0.18636298775229493,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False,1.0,1.0
2022-02-26,97264.34440328086,0.06218000404438825,0.06274000404438825,0.0005600000000000001,-0.035821368001109646,1.5319466151711156,0.0855136272405943,4,3,0.22481430625014115,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False,1.0,1.0
2022-02-27,95761.31872893174,-0.015452997535430002,-0.01489815159022548,0.0005548459452045225,-0.05072081802510282,1.12588619308065,0.06436951935351815,3,4,0.2257478117847048,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False,1.0,1.0
2022-02-28,94961.77271839198,-0.00834936299073963,-0.007931145972491059,0.0004182170182485718,-0.058646694494963625,1.3188421116647675,0.010074424129206637,2,5,0.2250977209381156,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False,1.0,1.0
2022-03-01,94054.33611638167,-0.00955580941713558,-0.00899580941713558,0.0005600000000000001,-0.06764208727656042,1.1863601331346718,0.0021432781567156667,5,3,0.22465489567790492,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False,1.0,1.0
2022-03-02,93783.63454823922,-0.0028781402253214507,-0.0023181402253214505,0.0005600000000000001,-0.0703255440895664,1.2224592815838975,-0.006852531260419958,5,6,0.22343870569901061,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False,1.0,1.0
2022-03-03,92063.78312873018,-0.018338502530784367,-0.018023387351410344,0.0003151151793740233,-0.08737438145208544,1.3491592941278547,-0.006509196592276528,5,6,0.2253027306149144,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False,1.0,1.0
2022-03-04,92456.55322891766,0.004266282427676086,0.0045573364127638825,0.000291053985087796,-0.08348086281262748,1.356535313131739,0.052109383047214575,6,5,0.22417534025708605,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False,1.0,1.0
