year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2022,0.0025465020329789034,-0.052794333970274,-0.03655569178849083,-0.03781727931998913,0.11898444974986289,0.13610994740091908,-0.14204827256211028,-0.02181848884276183,-0.013497521678543456,-0.02090662158335377,0.04575155234191719,0.008464671864737872,-0.04331007716091795
2023,-0.11060177896291334,0.01421759793902666,0.0019091292268975657,-0.06369708205242941,0.004230421245432492,0.05423910201105642,-0.014329028346918071,0.023038122633402214,-0.025242421988808217,0.02352878879789877,-0.041325333954813415,-0.04804487088693865,-0.17746800800881957
2024,4.912944385226936e-05,-0.028109223250706417,0.0348306067910189,-0.018116674895312324,0.049602935244316804,0.09908557650047323,-0.026692144179591093,-0.027926848966310147,-0.08778001985480699,0.023054999564739775,-0.049059889285728686,0.04031277490832608,-0.004848209548251714
2025,0.0862802312751334,0.01833846176334264,0.06640750351438673,-0.06562647155682089,0.04374533781153933,0.04022879075281671,-0.005510086348074927,0.033218769234371504,0.00038033264507197906,0.19566110308432516,0.04811977341563578,0.03990613140867194,0.6031425034455371
