,total_pnl_pct,sharpe,avg_position,n_days_active
BTCUSDT,0.12072112946393884,1.0519605966373393,0.08002786778289328,1074.0
UNIUSDT,0.1049774329896287,0.504517312689227,0.0349597847446827,1211.0
MKRUSDT,0.10145222670722799,0.4197029573147185,0.04380333987164689,1187.0
BNBUSDT,0.07819211207784518,0.6533497030650012,0.07541782638352108,1056.0
ARBUSDT,0.06003768711598517,0.4281418505515183,0.03957094301952888,892.0
LTCUSDT,0.04843678546468838,0.1905058135853335,0.06237284062315435,1394.0
NEARUSDT,0.043754186809052166,0.15733526122287098,0.03438699943388771,1288.0
ATOMUSDT,0.04322828584886847,0.17768593153521403,0.0483690374067173,1269.0
ETHUSDT,0.025008350070757218,0.17537408598427387,0.06660409415923411,1069.0
SOLUSDT,0.02463850121521524,0.28339744835698155,0.019990611234047585,724.0
AVAXUSDT,0.020096449546328637,0.10280562859744592,0.023883919877124956,858.0
TIAUSDT,0.018616761891226075,0.1650775327461248,0.031089656188910055,752.0
RNDRUSDT,0.010101783844279556,0.16516947055292355,0.014732126860212419,439.0
AAVEUSDT,-0.0006468798585829924,-0.002668836828083794,0.031509542624279026,1083.0
STXUSDT,-0.0010257207918063713,-0.010014204810833581,0.025673563273865423,777.0
INJUSDT,-0.00937329565950345,-0.04494040910348292,0.03435162083448657,1126.0
DOTUSDT,-0.01808527425700021,-0.07870696363701608,0.0535539870401275,1252.0
LINKUSDT,-0.020771543660835567,-0.08749325826427608,0.03961924234329566,1283.0
ADAUSDT,-0.02232957059303159,-0.0808259701703802,0.06797670816753464,1416.0
WLDUSDT,-0.07866291677626984,-0.40665378983977374,0.04620511085497476,875.0
XRPUSDT,-0.0808159019262325,-0.2736111445485573,0.06561386571265464,1411.0
SEIUSDT,-0.10307329419615,-0.6178374231378541,0.05065775195807348,829.0
SUIUSDT,-0.10737966400133624,-0.8815725922938973,0.03501506235755899,890.0
FETUSDT,-0.1258347037997884,-0.6659448959465438,0.050302750700906985,1063.0
APTUSDT,-0.1402140684763598,-0.7587483009601138,0.028826806231885403,1012.0
OPUSDT,-0.22323946101434256,-0.6076147505827569,0.044373029861077225,1145.0
