date,AAVEUSDT,ADAUSDT,ATOMUSDT,DOTUSDT,MKRUSDT,UNIUSDT,XRPUSDT,LTCUSDT,NEARUSDT,LINKUSDT,AVAXUSDT,OPUSDT,INJUSDT,APTUSDT,BTCUSDT,FETUSDT,BNBUSDT,ETHUSDT,SOLUSDT,RNDRUSDT,STXUSDT,ARBUSDT,SUIUSDT,WLDUSDT,SEIUSDT,TIAUSDT
2022-01-30,0.08,-0.2,0.08,0.08,0.08,0.08,-0.2,,,,,,,,,,,,,,,,,,,
2022-01-31,0.04373870492416706,-0.2631093223144051,0.04268380868061304,0.20476849141394088,0.20473654614568662,0.04508917375339266,-0.26424290880205414,0.16147061206200025,-0.15815621372489175,,,,,,,,,,,,,,,,,
2022-02-01,0.0017834069662844565,-0.3267813388846027,0.001720023430931937,0.2509925912279355,0.2509925912279355,0.0016688985816396204,-0.3265773528304371,0.2509925912279355,-0.32229000850244977,0.23382706278194795,,,,,,,,,,,,,,,,
2022-02-02,0.0016464899347923927,-0.3303562109705246,0.0015702719288079787,0.24072337049544693,0.24466773805185674,0.0015790128433868518,-0.31217258742692894,0.23604606206240164,-0.31216722069189723,0.2406671624677151,,,,,,,,,,,,,,,,
2022-02-03,0.00166609619228529,-0.2441402933380744,-0.2441402933380744,0.24257183022729484,0.26245281343847965,0.0015618774350911733,-0.2441402933380744,0.24195921447679528,-0.2441402933380744,0.22340164207948388,,,,,,,,,,,,,,,,
2022-02-04,0.0018158662148004755,-0.29539584240384975,-0.29539584240384975,0.22930831041715333,0.22930831041715333,0.0016791197023773936,0.0,0.22930831041715333,-0.289307696707898,0.1982625959600894,,,,,,,,,,,,,,,,
2022-02-05,0.0018091129483306999,-0.21613343169706847,-0.21613343169706847,0.28817790892942463,0.28817790892942463,0.001689190512516082,-0.20722564931981502,0.28817790892942463,-0.21613343169706847,0.008286580205741106,,,,,,,,,,,,,,,,
2022-02-06,0.0018898253750097922,-0.21955466343046803,-0.21989031632081882,0.29604763223070674,0.28723088142872394,0.0017533731383253333,-0.21258305375135092,0.3019841149369729,-0.22738107146783737,0.008434596542317424,,,,,,,,,,,,,,,,
2022-02-07,0.0019821926325318848,-0.2063318030879201,-0.22245118898569732,0.27510907078389346,0.2879731462265704,0.0018596427318783564,-0.2063318030879201,0.27510907078389346,-0.2063318030879201,0.008812808632622845,,,,,,,,,,,,,,,,
2022-02-08,0.00200256135559395,-0.20223238167253274,-0.21366401877022131,0.26649113694567966,0.2820990161884407,0.0017938066894791712,-0.21745936391413753,0.2677733633740942,-0.19512875037210933,0.008576075879802046,,,,,,,,,,,,,,,,
