date,nav,daily_ret,gross_ret,cost_pct,drawdown,gross_exp,net_exp,n_long,n_short,port_vol_ann,btc_vol,regime_scale,paused,btc_mom,short_scale,gate_active
2022-01-30,100877.92985168831,0.008779298516882998,0.009339298516882998,0.00056,0.0,0.7999999999999999,-1.3877787807814457e-17,8,2,0.15021550480111318,0.4451220526469184,1.0,False,0.0,1.0,False
2022-01-31,100254.65020329789,-0.00617855312164688,-0.00561855312164688,0.0005600000000000001,-0.006178553121646882,1.4756255741383832,0.009339298516882935,6,5,0.14988516407168267,0.4451220526469184,1.0,False,0.0,1.0,False
2022-02-01,100820.89403867164,0.005648055568749337,0.006079836314150684,0.000431780745401347,-0.0005653943642630855,1.9982989638393633,0.0032333549732228434,5,6,0.14946993894877372,0.4451220526469184,1.0,False,0.0,1.0,False
2022-02-02,99380.39131246346,-0.014287740055703603,-0.01412637312561741,0.0001613669300861928,-0.014845056212261221,1.9555746835644892,-0.051517860327001216,5,6,0.15146115775939825,0.4451220526469184,1.0,False,0.0,1.0,False
2022-02-03,95947.10045698269,-0.03454696454842987,-0.034403555770290334,0.00014340877813953442,-0.04887916913000668,1.9736222204599534,-0.006304834339045662,6,5,0.166374777657939,0.4451220526469184,1.0,False,0.0,1.0,False
2022-02-04,97372.0091760939,0.014850982596916036,0.015390086338006542,0.0005391037410905062,-0.034754090223192084,1.8528895515925614,-0.010856591667201682,5,6,0.16818818404428848,0.4451220526469184,1.0,False,0.0,1.0,False
2022-02-05,96982.80536469675,-0.003997081036843822,-0.00362570530696608,0.0003713757298777415,-0.038612256345052054,1.7713086808273293,-0.012407587379727941,7,4,0.16741964806059942,0.4451220526469184,1.0,False,0.0,1.0,False
2022-02-06,94159.99949246921,-0.029106250964926975,-0.028769382973194667,0.00033686799173231007,-0.06659464928647786,1.7756549229507863,-0.01624945311988618,5,6,0.17680235012034526,0.4451220526469184,1.0,False,0.0,1.0,False
2022-02-07,93483.93268464078,-0.0071799788813987015,-0.007018644701572955,0.0001613341798257461,-0.07329647999238545,1.6849072712564268,0.017054337490940402,5,6,0.17639772126238207,0.4451220526469184,1.0,False,0.0,1.0,False
2022-02-08,94310.71935942642,0.008844158039165073,0.008912980511034917,6.882247186984348e-05,-0.0651005676059874,1.6991838992528359,-0.03804232002501229,5,6,0.17631415443630927,0.4451220526469184,1.0,False,0.0,1.0,False
