date,SOLUSDT,RNDRUSDT,STXUSDT,WLDUSDT,SEIUSDT,ADAUSDT,MKRUSDT,DOTUSDT,NEARUSDT,APTUSDT,AAVEUSDT,ATOMUSDT,LINKUSDT,ARBUSDT,SUIUSDT,OPUSDT,LTCUSDT,AVAXUSDT,INJUSDT,FETUSDT,TIAUSDT,XRPUSDT,BTCUSDT,BNBUSDT,UNIUSDT,ETHUSDT
2022-01-30,,,,,,-1.105669665277573,0.5144000129749835,0.5319810360896859,0.07495258831407622,,0.5143428418034676,0.5715228286333768,0.3591267509093736,,,,0.3755955108884848,0.2535186380216634,,,,-2.6441339121698118,,,0.5543633698122734,
2022-01-31,,,,,,-1.139127829710851,1.4504825719176406,0.6033632743865565,-1.5504311431575029,,0.14871465949467993,-0.10291333867487597,0.49545330258307546,,,,1.2797491666284526,-0.04250876404430105,,,,-1.3650794232301444,,,0.22229752380726997,
2022-02-01,,,,,,-1.3417053793598803,1.341971832157311,0.7397194639274441,-1.4815447183579091,,-2.181847850402949e-05,-0.23716815813004472,0.537454866346654,,,,1.3152637487106107,-0.026405789938620586,,,,-1.2054065396307245,,,0.3578424927536636,
2022-02-02,,,,,,-1.182940462993753,1.2825071218898967,0.7713630719179169,-1.6384202202039901,,-0.07237791125444774,-0.48249300951892976,0.5763884645938517,,,,1.4231012005679073,-0.06355411917833088,,,,-0.9733645371650507,,,0.35979040134492934,
2022-02-03,,,,,,-1.1202727744671972,1.2043645183253013,0.8828712906196028,-1.6147110116011258,,-0.00019742304876827076,-0.8954091158527732,0.5245936186743324,,,,1.4273147489915203,0.011946943276083423,,,,-0.8039696413411376,,,0.3834688464241616,
2022-02-04,,,,,,-0.8156529180959816,1.6192342865769418,0.6993191820386664,-1.9015542180105214,,-0.09886187586938044,-0.6968999955941432,0.5061256828718106,,,,1.2303420954637132,-0.2899742195309796,,,,-0.46266195540258914,,,0.2105839355524634,
2022-02-05,,,,,,-0.7866155588728276,1.6484428635042694,0.5478067890214039,-1.9099197481458423,,0.016475396677739867,-0.7667378981599134,0.2947539609050062,,,,1.286791340270732,0.016350522111003882,,,,-0.57649111930997,,,0.22914345199839833,
2022-02-06,,,,,,-0.7253386614696964,1.783128320166303,0.6076011079851537,-1.7762147798730599,,-0.0931716529781787,-0.8822741148890113,0.4518266156707709,,,,1.2168223480122922,0.02547221957590277,,,,-0.5415558589219733,,,-0.06629554327850273,
2022-02-07,,,,,,-0.7170141146261969,1.8264966073460334,0.7995599754220841,-1.4827397067584767,,-0.005947762379801949,-0.7808003283241814,0.24907740641587542,,,,1.189810931421648,0.0920344766551223,,,,-1.100570896850993,,,-0.06990658832111343,
2022-02-08,,,,,,-0.6878790059484439,1.7429049303636615,0.7876492314134792,-1.4536963283640176,,0.029189827065715428,-0.7476656392608713,0.24404772069295994,,,,1.2991777557014104,0.11997666132377706,,,,-1.188591662727818,,,-0.1451134902598524,
2022-02-09,,,,,,-0.685741469180375,1.762793655175462,0.7866205808242906,-1.4347640582114902,,0.03615782652336955,-0.841549695769531,0.24400663538505565,,,,1.2762513747355775,0.0967041305033183,,,,-1.1533349310552234,,,-0.0871440489304544,
2022-02-10,,,,,,-0.7170470056510623,1.8233759108731904,0.7340262276394488,-1.3869295785556324,,0.05300362825967481,-0.8778033029893967,0.2553136431687519,,,,1.2459914871771862,0.04826090492427142,,,,-1.1419750787944,,,-0.036216836052031916,
2022-02-11,,,,,,-0.6529177979802001,1.8233779943547408,0.7124362675564234,-1.3131834421148578,,0.06721267599484713,-0.9250090558151169,0.2906211859446647,,,,1.1854963726435694,0.09009288233598815,,,,-1.2879210307785356,,,0.009793947858476995,
2022-02-12,,,,,,-0.5993734144052735,1.7854265971395,0.6962932540817137,-1.317739263819351,,0.10776901190323657,-1.0344835448195069,0.348356315071267,,,,1.1366149503429774,0.12105170327907776,,,,-1.310583154441519,,,0.06666754566787768,
2022-02-13,,,,,,-0.5968864925256132,1.7542393136632675,0.7067154759326431,-1.297705155503789,,0.14093655575545055,-1.0309662878998955,0.3458953572514094,,,,1.130997041807259,0.09518178502888551,,,,-1.3701973197321236,,,0.12178972622250606,
2022-02-14,,,,,,-0.5921908094331352,1.7724065599549879,0.7532336514203812,-1.2451449805432455,,0.1410081939283479,-1.0930421236683876,0.368745780674362,,,,1.1348700920461883,-0.11736988320977039,,,,-1.3055071200127488,,,0.18299063884302036,
2022-02-15,,,,,,-0.4505577585309856,1.782735552117007,0.7657791330515664,-1.324814716479244,,0.1857847313694712,-1.032976406708329,0.3186798504831961,,,,1.177356201437054,-0.3936105290323744,,,,-1.2228174601638842,,,0.19444140245652253,
2022-02-16,,,,,,-0.27816188762733657,1.7013706300289293,0.7488905229483833,-1.3058679860200548,,0.11177326213282977,-0.9755490406237449,0.299511704298911,,,,1.2535394623944,-0.3722897703142165,,,,-1.397206769014125,,,0.2139898717960241,
2022-02-17,,,,,,-0.11001509395161774,1.6213333818938118,0.7032359008716559,-1.3223440617836373,,0.09981135238784083,-1.0412388812933333,0.3112706506964545,,,,1.322899428829725,-0.2127405283154346,,,,-1.456886698225767,,,0.08467454889030188,
2022-02-18,,,,,,-0.0022511453086353807,1.697708121405812,0.6282084097310525,-1.327213047838168,,0.13152388822443556,-0.8949331334913498,0.29500292525794103,,,,1.205010706648472,-0.14974931902693203,,,,-1.6066703842070529,,,0.0233629786044246,
2022-02-19,,,,,,0.04814972331561129,1.6586534424127943,0.6588618990734423,-1.2876146924589074,,0.13393133206411503,-0.8017402857130825,0.2603900781341274,,,,1.248021253340312,-0.2490992225732528,,,,-1.675211092394171,,,0.005657564799011186,
2022-02-20,,,,,,0.13308959696060016,1.4352512610679697,0.8509142345365135,-1.3307229868123718,,0.1573882745243628,-0.9371109997481538,0.3272569236790703,,,,1.2329389015764,-0.12578557740750018,,,,-1.6968520219159544,,,-0.04636760646093618,
2022-02-21,,,,,,0.13638086295331486,1.2375480575642033,0.8518908715647857,-1.3010883190355094,,0.39573724908873337,-0.8730246037872815,0.3427520485412881,,,,1.1607695426028977,-0.11767067553363822,,,,-1.904916113782801,,,0.07162107982400692,
2022-02-22,,,,,,0.11610037048002148,0.9272369368903067,1.0448775826139916,-1.3880400164029227,,0.5075548068617224,-0.6406541337247611,0.395649750706583,,,,1.0358703268051004,-0.09241862088485543,,,,-2.04520018811125,,,0.13902318476606376,
2022-02-23,,,,,,0.1140478047567155,0.9016263276884977,1.0844322580526546,-1.3103501305454297,,0.5341334919471857,-0.7042657447040109,0.42418993019645734,,,,0.9254895212127533,-0.06740834921659832,,,,-2.102066382244969,,,0.20017127285674358,
2022-02-24,,,,,,0.30731272650051106,0.5479463100199105,1.1053867099083348,-1.1697998189941068,,0.5683201004420344,-0.4117392887246958,0.34481693092553145,,,,0.9515477627350764,-0.2166352758559784,,,,-2.316753356472796,,,0.28959719951617846,
2022-02-25,,,,,,0.40229808577104187,0.683987727900063,1.0548176713975879,-0.9739261853224374,,0.28779128713965285,-0.35543725944506566,0.2110917517795282,,,,1.0046830523743802,-0.26823711778792186,,,,-2.416165173153722,,,0.36909615934689266,
2022-02-26,,,,,,-0.12996063310548459,,1.7853932446706688,,,0.13502082246647396,-1.17156062247239,0.050952856579833436,,,,,-1.1023058798634162,,,,,,,0.4324602117243147,
2022-02-27,,,,,,-0.1192540786581558,,1.9296902918965255,,,0.1838089765667504,-0.8587379574887491,0.36424456996898713,,,,,-1.0916034107203036,,,,,,,-0.40814839156505417,
2022-02-28,,,,,,-0.5542027198985355,,2.087761447196533,,,0.0994988938783117,-0.9009754712008671,-0.003500992069576531,,,,,-0.715735557929069,,,,,,,-0.012845599976796636,
2022-03-01,,,,,,0.15618611610400748,,1.7865603279579743,,,0.24369152684566148,-0.376580822007875,0.1369437012075874,,,,,-0.32226963228991456,,,,-1.8467817479597566,,,0.22225053014231558,
2022-03-02,,,,,,-0.24956320288059985,1.43653590597457,1.3111710866578237,-1.088641358403757,,0.05193316555118429,-0.46048690553579746,-0.1569683442984991,,,,1.1633805196228892,-0.32728194596394394,,,,-1.8040126374812304,,,0.12393371675736058,
2022-03-03,,,,,,-0.153931082451218,1.3135684366773788,1.2368210916773508,-1.1299937503349538,,0.05579394505903867,-0.566640500404955,-0.10307043585814574,,,,1.129176322295365,-0.2083333040959078,,,,-1.9165608055497347,,,0.34317008298578183,
2022-03-04,,,,,,-0.018655006890947807,1.0740631055289422,1.1638127508065355,-1.4157338128822012,,0.20022640518810375,-0.31236123208987876,0.1000410288533837,,,,0.9506110812447858,-0.15009265458079485,,,,-2.0502144025160347,,,0.4583027373381064,
2022-03-05,,,,,,0.06149385642025388,1.061003482155381,1.0031401078240898,-1.4265423796758412,,0.14568097287933052,-0.05644316300329776,0.20615906572943063,,,,0.9402675656428826,-0.1378239993214416,,,,-2.1721787462177624,,,0.37524323756697475,
2022-03-06,,,,,,-0.01550031284494521,1.0479389498892853,0.9829917119103684,-1.4223978567312592,,0.10970024951179223,-0.09750701683717986,0.24807198485693208,,,,0.9265771968374438,-0.11807167261251605,,,,-2.1680128016968436,,,0.506209567716922,
2022-03-07,,,,,,0.06405427865188082,0.9583139807891236,1.0542279513233013,-1.5186430661639803,,0.060244659759500545,-0.043900586171047515,0.29668012814025274,,,,0.8526498212383741,-0.0825628912502406,,,,-2.140741954958661,,,0.49967767864149626,
2022-03-08,,,,,,0.14975015393200158,0.9345229807175349,1.0400155557381023,-1.5485448691643966,,0.02449476024745265,-0.07846571881675453,0.28327977601796434,,,,0.8951664573311247,-0.0034641897151035388,,,,-2.132275859397069,,,0.4355209531091434,
2022-03-09,,,,,,0.18797328394110502,0.8915288850652998,1.002980862682441,-1.5690342964224329,,-0.002151574251467364,-0.08114627610035294,0.31447110047743226,,,,0.9121662703165833,0.008179284680712325,,,,-2.132166226845742,,,0.4671986864564214,
2022-03-10,,,,,,0.15808932156897873,0.9086552966650874,1.032346412357917,-1.3887081182549907,,-0.07156644983845374,-0.045141546013712536,0.3115310756912708,,,,1.0703383001267268,-0.18889351526637302,,,,-2.172686069097021,,,0.38603529206057036,
2022-03-11,,,,,,0.18910449057315432,0.7329121141180049,1.0055612268604395,-1.2510521000194552,,0.11079259652110468,-0.14300498070665682,0.3321340138531116,,,,1.066750504924178,-0.13206816429799983,,,,-2.3205097492896907,,,0.40938004746380935,
