label,IC_mean,IC_median,IC_std,ICIR,t_stat_NW,t_stat_std,pct_pos,n_days,composite,type
★ META h=1,0.06536946727300177,0.08131868131868132,0.3040727458934164,0.21497969862749583,8.648871346902972,8.11530565790998,0.5768421052631579,1425,Meta,composite
★ META h=2,0.06857897499782968,0.05811222593831289,0.3010979832914551,0.22776298349181237,6.940960746604972,8.594846755370709,0.577247191011236,1424,Meta,composite
★ META h=3,0.07637720086635501,0.06832298136645965,0.2974484340511585,0.25677459392245044,6.440644371900093,9.686223842942512,0.5931131412508784,1423,Meta,composite
★ META h=5,0.08288129058685473,0.08391608391608392,0.29862816549390264,0.2775400989045254,5.655576835456391,10.462194212324958,0.6023926812104152,1421,Meta,composite
★ META h=10,0.09681192793316433,0.09851037851037851,0.2994758547958336,0.32327122999336777,5.732903221863976,12.164623792302727,0.6200564971751412,1416,Meta,composite
★ META h=20,0.10734554309829984,0.12190852625635235,0.289015841279115,0.37141750647028254,6.17352600512358,13.926918379250987,0.6522048364153628,1406,Meta,composite
