date,symbol,score_fast,score_slow
2022-02-02,OPUSDT-1d-full,,
2022-02-02,RNDRUSDT-1d-full,,
2022-02-02,SEIUSDT-1d-full,,
2022-02-02,SOLUSDT-1d-full,,
2022-02-02,STXUSDT-1d-full,,
2022-02-02,SUIUSDT-1d-full,,
2022-02-02,TIAUSDT-1d-full,,
2022-02-02,UNIUSDT-1d-full,0.42377556242137543,-0.06990117177439381
2022-02-02,WLDUSDT-1d-full,,
2022-02-02,XRPUSDT-1d-full,-0.9606106691145401,-0.41616310666223777
2022-02-03,AAVEUSDT-1d-full,0.48068004937239694,-0.1505734567583571
2022-02-03,ADAUSDT-1d-full,-0.8844592769340099,-0.7344779078400502
2022-02-03,APTUSDT-1d-full,,
2022-02-03,ARBUSDT-1d-full,,
2022-02-03,ATOMUSDT-1d-full,-0.6228658677091938,-1.0267797020682763
2022-02-03,AVAXUSDT-1d-full,-0.03608208187109481,-0.06248268861412985
2022-02-03,BNBUSDT-1d-full,,
2022-02-03,BTCUSDT-1d-full,,
2022-02-03,DOTUSDT-1d-full,0.9242445445201891,0.6297299956807045
2022-02-03,ETHUSDT-1d-full,,
2022-02-03,FETUSDT-1d-full,,
2022-02-03,INJUSDT-1d-full,,
2022-02-03,LINKUSDT-1d-full,0.6956580717370193,0.21600575085396295
2022-02-03,LTCUSDT-1d-full,1.673458929396423,1.1525504685025836
2022-02-03,MKRUSDT-1d-full,-1.6488297646462948,2.107846304069263
2022-02-03,NEARUSDT-1d-full,-0.881876887200472,-1.3578874507547296
2022-02-03,OPUSDT-1d-full,,
2022-02-03,RNDRUSDT-1d-full,,
2022-02-03,SEIUSDT-1d-full,,
2022-02-03,SOLUSDT-1d-full,,
2022-02-03,STXUSDT-1d-full,,
2022-02-03,SUIUSDT-1d-full,,
2022-02-03,TIAUSDT-1d-full,,
2022-02-03,UNIUSDT-1d-full,0.8273151196343954,-0.282708640992564
2022-02-03,WLDUSDT-1d-full,,
2022-02-03,XRPUSDT-1d-full,-0.5272428362993585,-0.49122267207840714
2022-02-04,AAVEUSDT-1d-full,0.5595574470888488,-0.1428166889376529
2022-02-04,ADAUSDT-1d-full,-0.4358846128259232,-0.6861293470566614
2022-02-04,APTUSDT-1d-full,,
2022-02-04,ARBUSDT-1d-full,,
2022-02-04,ATOMUSDT-1d-full,-0.018843687453114145,-0.7732018671836021
2022-02-04,AVAXUSDT-1d-full,-0.8304288340457241,-0.07021150217800222
2022-02-04,BNBUSDT-1d-full,,
2022-02-04,BTCUSDT-1d-full,,
2022-02-04,DOTUSDT-1d-full,0.7148798904927925,0.7162676264676646
2022-02-04,ETHUSDT-1d-full,,
2022-02-04,FETUSDT-1d-full,,
2022-02-04,INJUSDT-1d-full,,
2022-02-04,LINKUSDT-1d-full,1.2926834055773486,-0.050287939997521805
2022-02-04,LTCUSDT-1d-full,1.0562066387541833,1.243340749873829
2022-02-04,MKRUSDT-1d-full,-0.3576293281793366,2.1397933719597146
2022-02-04,NEARUSDT-1d-full,-2.0585144760803704,-1.2968815472487325
2022-02-04,OPUSDT-1d-full,,
2022-02-04,RNDRUSDT-1d-full,,
2022-02-04,SEIUSDT-1d-full,,
2022-02-04,SOLUSDT-1d-full,,
2022-02-04,STXUSDT-1d-full,,
2022-02-04,SUIUSDT-1d-full,,
2022-02-04,TIAUSDT-1d-full,,
2022-02-04,UNIUSDT-1d-full,0.7942537191343135,-0.5613210668196765
2022-02-04,WLDUSDT-1d-full,,
2022-02-04,XRPUSDT-1d-full,-0.7162801624630183,-0.5185517888793584
2022-02-05,AAVEUSDT-1d-full,0.8566879003962773,-0.02471344748475409
2022-02-05,ADAUSDT-1d-full,-0.7534441402374243,-0.7262966293143984
2022-02-05,APTUSDT-1d-full,,
2022-02-05,ARBUSDT-1d-full,,
2022-02-05,ATOMUSDT-1d-full,0.24406659904603623,-0.8310703892175412
2022-02-05,AVAXUSDT-1d-full,0.08315588211324154,0.1407196163646991
2022-02-05,BNBUSDT-1d-full,,
2022-02-05,BTCUSDT-1d-full,,
2022-02-05,DOTUSDT-1d-full,-0.12236565315973218,0.8026374968612997
2022-02-05,ETHUSDT-1d-full,,
2022-02-05,FETUSDT-1d-full,,
2022-02-05,INJUSDT-1d-full,,
2022-02-05,LINKUSDT-1d-full,0.8079237692213388,0.10593186140965742
2022-02-05,LTCUSDT-1d-full,1.1479546964602259,1.5929742412486183
2022-02-05,MKRUSDT-1d-full,0.07282475059803085,1.6106349967934694
2022-02-05,NEARUSDT-1d-full,-2.09251219046515,-1.5196841014429443
2022-02-05,OPUSDT-1d-full,,
2022-02-05,RNDRUSDT-1d-full,,
2022-02-05,SEIUSDT-1d-full,,
2022-02-05,SOLUSDT-1d-full,,
2022-02-05,STXUSDT-1d-full,,
2022-02-05,SUIUSDT-1d-full,,
2022-02-05,TIAUSDT-1d-full,,
2022-02-05,UNIUSDT-1d-full,0.9344194537551493,-0.5420421307094255
2022-02-05,WLDUSDT-1d-full,,
2022-02-05,XRPUSDT-1d-full,-1.1787110677279933,-0.6090915145086805
2022-02-06,AAVEUSDT-1d-full,0.3414224246064389,-0.05905253986454939
2022-02-06,ADAUSDT-1d-full,-0.6922128632813239,-0.8154361481378898
2022-02-06,APTUSDT-1d-full,,
2022-02-06,ARBUSDT-1d-full,,
2022-02-06,ATOMUSDT-1d-full,-0.23522723969340337,-0.9339828991359288
2022-02-06,AVAXUSDT-1d-full,0.11240528881956222,0.3788793910446749
