date,SOLUSDT-1d-full,RNDRUSDT-1d-full,STXUSDT-1d-full,WLDUSDT-1d-full,SEIUSDT-1d-full,ADAUSDT-1d-full,MKRUSDT-1d-full,DOTUSDT-1d-full,NEARUSDT-1d-full,APTUSDT-1d-full,AAVEUSDT-1d-full,ATOMUSDT-1d-full,LINKUSDT-1d-full,ARBUSDT-1d-full,SUIUSDT-1d-full,OPUSDT-1d-full,LTCUSDT-1d-full,AVAXUSDT-1d-full,INJUSDT-1d-full,FETUSDT-1d-full,TIAUSDT-1d-full,XRPUSDT-1d-full,BTCUSDT-1d-full,BNBUSDT-1d-full,UNIUSDT-1d-full,ETHUSDT-1d-full
2022-01-30,,,,,,-1.1630381565432444,0.8361524682710392,0.5282568761293537,-0.15405818316816103,,0.4466553964982478,0.10573328682359096,0.6161127988493459,,,,0.3698837074265556,0.45503362890121224,,,,-2.541708040380854,,,0.5009762171929143,
2022-01-31,,,,,,-0.8129172845592826,1.9296380503852555,0.4862497728334533,-1.6241043204025165,,-0.34529957527267435,-0.7680822848098648,0.7290166161284326,,,,1.0760066473917298,-0.25312650867822595,,,,-0.5184441254526304,,,0.10106301243632318,
2022-02-01,,,,,,-0.8187204727807943,1.8887322947405931,0.5419959777433192,-1.6368120103679407,,-0.14860106870446524,-0.6537653390516487,0.5239843465367104,,,,1.2374859766560484,-0.14115801474482131,,,,-0.7124734563681718,,,-0.08066823365882893,
2022-02-02,,,,,,-0.7775659187259323,2.141114649576508,0.6359297268707385,-1.3944081772981234,,-0.2923059300785948,-0.9607772046640435,0.14689961231034718,,,,1.1127760475253463,-0.12559852707961458,,,,-0.41616310666223777,,,-0.06990117177439381,
2022-02-03,,,,,,-0.7344779078400502,2.107846304069263,0.6297299956807045,-1.3578874507547296,,-0.1505734567583571,-1.0267797020682763,0.21600575085396295,,,,1.1525504685025836,-0.06248268861412985,,,,-0.49122267207840714,,,-0.282708640992564,
2022-02-04,,,,,,-0.6861293470566614,2.1397933719597146,0.7162676264676646,-1.2968815472487325,,-0.1428166889376529,-0.7732018671836021,-0.050287939997521805,,,,1.243340749873829,-0.07021150217800222,,,,-0.5185517888793584,,,-0.5613210668196765,
2022-02-05,,,,,,-0.7262966293143984,1.6106349967934694,0.8026374968612997,-1.5196841014429443,,-0.02471344748475409,-0.8310703892175412,0.10593186140965742,,,,1.5929742412486183,0.1407196163646991,,,,-0.6090915145086805,,,-0.5420421307094255,
2022-02-06,,,,,,-0.8154361481378898,1.5153174931767492,0.7969629017662683,-1.4050439892160742,,-0.05905253986454939,-0.9339828991359288,-0.11551918456086364,,,,1.6812605159415364,0.3788793910446749,,,,-0.6355109487417705,,,-0.4078745922721529,
2022-02-07,,,,,,-0.774759086173582,1.590424669560488,0.8328175106788925,-1.493090272689615,,-0.042112777119127275,-0.9439285527519946,0.02535345959198358,,,,1.5003494176647234,0.3089376983017919,,,,-0.8209677030092934,,,-0.18302436405426695,
2022-02-08,,,,,,-0.7708014268723453,1.781733362452561,0.6116040207701553,-1.577730181620791,,0.16870139770083742,-1.0047430613123853,0.09752836395149184,,,,1.3349293193998024,0.19855432147574084,,,,-0.6904862377457838,,,-0.1492898781992831,
2022-02-09,,,,,,-0.6490713677672577,1.6986712929196175,0.5376096195988511,-1.6446615656471129,,0.17611216503262841,-1.0781098216122698,0.06169969536779959,,,,1.365829156802819,0.32171895478432644,,,,-0.7275102348098781,,,-0.062287894669524196,
2022-02-10,,,,,,-0.6148548671975269,1.7943842177459508,0.4695217925133414,-1.558507227293634,,0.08285036345279806,-1.170253894855639,0.15866881712662556,,,,1.25764715756122,0.39446773540750135,,,,-0.7829219803134808,,,-0.03100211414715654,
2022-02-11,,,,,,-0.5176513040031134,1.842524501219644,0.43770642952371086,-1.56227442335533,,0.10078083185761559,-1.1657975729935213,0.1836700779080067,,,,1.2142198836188685,0.3420172645836315,,,,-0.8423121639511816,,,-0.032883524408331144,
2022-02-12,,,,,,-0.589338909075379,1.62474017520196,0.5954881481284361,-1.6461953849549606,,0.17433286471719953,-1.226504492620067,0.3032232168356703,,,,1.1943749810259137,0.28843214930091404,,,,-0.8854894345880607,,,0.16693668602837364,
2022-02-13,,,,,,-0.5798371294755719,1.7793550744159716,0.6224432835589956,-1.5634860042633347,,0.12286064012415655,-1.1126957502108181,0.21545749350778712,,,,1.2229286270327429,0.07746714567161476,,,,-0.9199214372214092,,,0.13542805685986495,
2022-02-14,,,,,,-0.544008294916022,1.8355014697403635,0.6395320010856731,-1.5323127826125447,,0.07070780778111432,-1.0834096087803102,0.10864900122662902,,,,1.2300794000520154,0.07929328515268863,,,,-0.923939695742856,,,0.11990741701324925,
2022-02-15,,,,,,-0.4305971372405908,1.8506101326344586,0.5654771118972319,-1.508409867950561,,-0.1316807864015506,-0.9429665187440068,0.19126051914527376,,,,1.3216486788549646,0.08246540161111733,,,,-1.0467593899349452,,,0.048951856128608265,
2022-02-16,,,,,,-0.2804549617567283,1.7701384742554853,0.5688283592446204,-1.5074202447661353,,-0.10336627282026228,-0.8485669798553401,0.30743854611411187,,,,1.139712479680806,0.39302853568788315,,,,-1.3820667039923706,,,-0.05727123179206998,
2022-02-17,,,,,,-0.03418908279452985,1.8380386552599206,0.5214646637828663,-1.467503461457296,,-0.19197677037601293,-0.5794511981033935,0.2756565233950337,,,,1.108327062638621,0.25480179139670484,,,,-1.5571819796496114,,,-0.16798620409230283,
2022-02-18,,,,,,0.04543622217623883,1.7700350495359778,0.6425605532971606,-1.5336507463424331,,-0.0409502621919637,-0.676922784636059,0.24608078907627523,,,,1.112898013534886,0.11868006007711812,,,,-1.5161196674077166,,,-0.16804722711948442,
2022-02-19,,,,,,0.05485321446417442,1.6879168747156348,0.7849826482546988,-1.506634542063802,,0.006173834283486198,-0.8194409932354061,0.34196325961209717,,,,1.1218347129594322,0.02007041407710877,,,,-1.4717385221071655,,,-0.2199809009602589,
