date,ADAUSDT,MKRUSDT,DOTUSDT,NEARUSDT,AAVEUSDT,ATOMUSDT,LINKUSDT,LTCUSDT,AVAXUSDT,XRPUSDT,UNIUSDT,OPUSDT,INJUSDT,APTUSDT,BNBUSDT,BTCUSDT,ETHUSDT,SOLUSDT,FETUSDT,RNDRUSDT,STXUSDT,ARBUSDT,SUIUSDT,WLDUSDT,SEIUSDT,TIAUSDT
2022-01-30,-0.2,0.05621345341457825,0.05621345341457825,0.0,0.05621345341457825,0.049235214389893214,0.04158366377117221,0.05621345341457825,0.028113854766043344,-0.2,0.05621345341457825,,,,,,,,,,,,,,,
2022-01-31,-0.2561803440609064,0.16041238013812945,0.16043015289117424,-0.1742452360939849,0.059512347259087994,-0.02758017821727466,0.12478719598933984,0.15908751316813252,-0.013810444823919733,-0.2570653157640185,0.07366671497731442,,,,,,,,,,,,,,,
2022-02-01,-0.26680780647865665,0.22520562713473438,0.22520562713473438,-0.2677425846424793,-2.0538857083101437e-05,-0.17262148736504698,0.19537656243935253,0.22520562713473438,-0.014496813250430785,-0.2615211700952594,0.1290519511849192,,,,,,,,,,,,,,,
2022-02-02,-0.22408452414276042,0.21953058900279052,0.21599146553765017,-0.22408452414276042,-0.05848731126791199,-0.22408452414276042,0.20199456617462902,0.21179470349852705,-0.049984169908796755,-0.22408452414276042,0.12210130119765615,,,,,,,,,,,,,,,
2022-02-03,-0.2315328936458973,0.23548842678791296,0.21765001462512532,-0.24754930587256435,-0.00018629666816161986,-0.25279671126067615,0.18286839634179475,0.21710033898088058,0.003919772315751978,-0.2275560984798047,0.1207762608990809,,,,,,,,,,,,,,,
2022-02-04,-0.16808996235637677,0.2339080364220552,0.23582494837537393,-0.16808996235637677,-0.07216524840229317,-0.16808996235637677,0.1964516228349545,0.23730482539338563,-0.16808996235637677,-0.16808996235637677,0.07613491078642899,,,,,,,,,,,,,,,
2022-02-05,-0.224983545177541,0.23108591076873775,0.24546526494632326,-0.224983545177541,0.006093318483547216,-0.224983545177541,0.11499463163138442,0.23824456894745563,0.0055852967361235024,-0.224983545177541,0.07659154305056746,,,,,,,,,,,,,,,
2022-02-06,-0.19133947759112574,0.23032650241111774,0.252168567508202,-0.19133947759112574,-0.07914090112530286,-0.19133947759112574,0.182777565252869,0.24965853753126424,0.005724602656276233,-0.19133947759112574,-0.06016045781996362,,,,,,,,,,,,,,,
2022-02-07,-0.20065268336374817,0.23092171436709014,0.2573745688105546,-0.1915665193918865,-0.005321910534412251,-0.19356784328759574,0.10122687501220339,0.24210610122278192,0.03262567054417058,-0.19721817640305303,-0.06380670245594428,,,,,,,,,,,,,,,
2022-02-08,-0.19666609528122275,0.22621133009482575,0.2493121774131059,-0.18116516689453444,-0.005376597712670031,-0.18592161044448854,0.09850768323350322,0.2356504088836053,0.03385742003928535,-0.18416226500837574,-0.12531367672870444,,,,,,,,,,,,,,,
2022-02-09,-0.19999941893005702,0.23047017426255942,0.2525716870780744,-0.1842302312048046,-0.005495330302898153,-0.18919069638381542,0.10010058255948734,0.24686849721069914,0.03528923075812895,-0.18287912415566177,-0.08004645603483287,,,,,,,,,,,,,,,
2022-02-10,-0.1925957553482241,0.24101297568302338,0.23606682011729735,-0.20759220492146102,0.020323297698502656,-0.20759220492146102,0.09378261822948969,0.2371849587019342,0.0357560402801629,-0.20759220492146102,-0.03523539162788023,,,,,,,,,,,,,,,
2022-02-11,-0.21602310926720128,0.23172648960637757,0.21831804134091387,-0.21602310926720128,0.0189537219734281,-0.21602310926720128,0.11342076576661449,0.2214161364308307,0.03205294625663314,-0.21602310926720128,0.0037452049793164546,,,,,,,,,,,,,,,
2022-02-12,-0.21175949526850654,0.2083895152944685,0.21660190374345697,-0.21490753437611285,0.01882151906685867,-0.21994503245326444,0.11173931640074955,0.2233916488406334,0.03187642164746064,-0.2103984172159765,0.0037445005962095674,,,,,,,,,,,,,,,
2022-02-13,-0.20847671265918288,0.2011553653705309,0.21563441677576314,-0.2065606436731474,0.045324001379008064,-0.2127928115392613,0.10930121482024541,0.22150432894912547,0.030546602925027814,-0.20602258051639827,0.04058604724512884,,,,,,,,,,,,,,,
2022-02-14,-0.1889505440888544,0.20230530249716838,0.2152312972058907,-0.1889505440888544,0.04612705905072371,-0.1889505440888544,0.1113679963324544,0.2195993705539586,-0.0880390146047406,-0.20489663423112667,0.04168668581448827,,,,,,,,,,,,,,,
