date,nav,daily_ret,gross_ret,cost_pct,drawdown,gross_exp,net_exp,n_long,n_short,port_vol_ann,btc_vol_fast,btc_vol_slow,fast_scale,slow_scale,regime_scale,paused
2022-01-30,100845.47854630744,0.008454785463074278,0.009014785463074278,0.00056,0.0,0.7999999999999999,-6.938893903907228e-18,8,2,0.15013744105519672,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False
2022-01-31,100122.26763734876,-0.007171475800242043,-0.006611475800242043,0.0005600000000000001,-0.007171475800242062,1.4667778233832829,0.009014785463074299,6,5,0.149993191054821,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False
2022-02-01,100452.37837242158,0.003297076093686732,0.003724634027106411,0.00042755793341967897,-0.0038980446079727098,1.9832557957174313,0.016834994339518627,5,6,0.14928201653513332,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False
2022-02-02,98972.48927574189,-0.014732245474498216,-0.014543862329422902,0.00018838314507531496,-0.018572863132435724,1.9762222031590035,-0.03339695233649752,5,6,0.1514564781691909,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False
2022-02-03,95788.24311698118,-0.03217304305532064,-0.03206061654396585,0.00011242651135478802,-0.050148360662535994,1.9374245158776506,0.01818190402344233,6,5,0.16436283658274076,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False
2022-02-04,97323.52629005234,0.016027887380669403,0.016502009306696964,0.0004741219260275606,-0.03492424555889084,1.8922394039963755,0.06700928362802124,5,6,0.16667885631550375,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False
2022-02-05,97064.7174765818,-0.0026592625990473654,-0.002263492083463566,0.0003957705155837993,-0.03749063541792343,1.8179947152743032,0.018126353853975305,7,4,0.16580828284050628,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False
2022-02-06,94369.1867374162,-0.02777044851354915,-0.027455119414266323,0.0003153290992828285,-0.06421995217085891,1.8253150446694986,0.01599650604995976,5,6,0.17438396120398228,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False
2022-02-07,93680.95358989158,-0.007292985892096732,-0.0071135649817841914,0.00017942091031254048,-0.07104458285778242,1.7163887653934404,0.012121094520160663,5,6,0.17402144385434265,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False
2022-02-08,94536.55574894679,0.009133149549275531,0.009194370053343216,6.122050406768396e-05,-0.062560294108413,1.7221444317343217,-0.03506639240567047,5,6,0.17402681645619594,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False
