date,nav,daily_ret,gross_ret,cost_pct,drawdown,gross_exp,net_exp,n_long,n_short,port_vol_ann,port_vol_fast,port_vol_slow,btc_vol,regime_scale,paused
2022-01-30,100845.47854630744,0.008454785463074278,0.009014785463074278,0.00056,0.0,0.7999999999999999,-6.938893903907228e-18,8,2,0.15079956230723035,0.15079956230723035,0.15013744105519672,0.4451220526469184,1.0,False
2022-01-31,100123.81027820018,-0.007156178725215477,-0.006596178725215477,0.0005600000000000001,-0.007156178725215448,1.4667778233832822,0.00901478546307427,6,5,0.14999012805269196,0.1498979317247133,0.14999012805269196,0.4451220526469184,1.0,False
2022-02-01,100450.56717605065,0.003263528394919731,0.0036906140089197296,0.0004270856139999986,-0.003916004722764488,1.9825864562934505,0.017545178333923578,5,6,0.1492758836862571,0.14568807332318928,0.1492758836862571,0.4451220526469184,1.0,False
2022-02-02,98970.67026195698,-0.014732588931031071,-0.01454490609979716,0.0001876828312339119,-0.018590900765963005,1.976287496049871,-0.033414222618428094,5,6,0.15845807930226108,0.15845807930226108,0.15145064287196264,0.4451220526469184,1.0,False
2022-02-03,96132.50638768089,-0.028676817755846264,-0.028557806276646176,0.00011901147920008658,-0.04673459064862677,1.884772762770929,0.008435567921865672,6,5,0.20863460586226934,0.20863460586226934,0.1616214314722655,0.4451220526469184,1.0,False
2022-02-04,97351.0022433258,0.012675169944399406,0.013235169944399406,0.0005600000000000001,-0.03465178958298069,1.5486185253790428,-0.020122238354780553,5,6,0.21104605214683056,0.21104605214683056,0.16277286059209115,0.4451220526469184,1.0,False
2022-02-05,97164.9515919443,-0.0019111323673532583,-0.0016902853917346288,0.00022084697561862963,-0.03649669779367525,1.431656714572656,0.010166016460559812,7,4,0.20407589882681393,0.20407589882681393,0.16188265947270059,0.4451220526469184,1.0,False
2022-02-06,94869.75063575512,-0.023621696080579985,-0.02337163795832993,0.0002500581222500547,-0.05925627997102828,1.4507074962186808,-0.019333805692186366,5,6,0.2291217835560528,0.2291217835560528,0.16806034186672222,0.4451220526469184,1.0,False
2022-02-07,94449.86563804546,-0.004425910207372298,-0.004269696825152833,0.0001562133822194648,-0.06341992720402591,1.34315313054022,-0.020720571061568105,5,6,0.22239614186975804,0.22239614186975804,0.16733794711830563,0.4451220526469184,1.0,False
2022-02-08,95068.65954874949,0.006551559459866107,0.006585194043440263,3.36345835741553e-05,-0.05728386716817726,1.3637307662307814,-0.07303967299265705,5,6,0.2172487425764954,0.2172487425764954,0.1669140725780058,0.4451220526469184,1.0,False
