date,nav,daily_ret,gross_ret,cost_pct,drawdown,gross_exp,net_exp,n_long,n_short,port_vol_ann,btc_vol,regime_scale,paused
2022-01-30,100845.47854630744,0.008454785463074278,0.009014785463074278,0.00056,0.0,0.7999999999999999,-6.938893903907228e-18,8,2,0.15013744105519672,0.4451220526469184,1.0,False
2022-01-31,100166.26839580254,-0.0067351571958975615,-0.006175157195897562,0.0005600000000000001,-0.006735157195897527,1.4667778233832824,0.009014785463074354,6,5,0.14990836917235043,0.4451220526469184,1.0,False
2022-02-01,100055.16094400956,-0.001109230218639468,-0.0006896512702757596,0.0004195789483637084,-0.007836916574648072,1.9714209270331289,0.029801564121373914,5,6,0.1490622639133995,0.4451220526469184,1.0,False
2022-02-02,99084.76962569178,-0.00969856336407087,-0.009541332101126843,0.0001572312629440267,-0.017459473106740717,1.9827112300865215,-0.03841969311049041,5,6,0.14952822330921153,0.4451220526469184,1.0,False
2022-02-03,95184.49269784686,-0.03936303170082382,-0.03926095494841324,0.00010207675241058164,-0.05613524701418418,2.021631888747805,-0.06031282911546783,6,5,0.16910871654804818,0.4451220526469184,1.0,False
2022-02-04,96569.67485566386,0.01455260325034371,0.015043293637519895,0.0004906903871761852,-0.04239955774199791,1.774566774020022,-0.0005600514584312155,5,6,0.17075461996073382,0.4451220526469184,1.0,False
2022-02-05,96196.88924493078,-0.0038602761300612657,-0.003604309071920605,0.0002559670581406607,-0.0460961598713825,1.7205803022850659,-0.036326773312578026,7,4,0.16995504017025861,0.4451220526469184,1.0,False
2022-02-06,93319.39787595616,-0.029912519953198404,-0.029676078989176256,0.0002364409640221491,-0.07462982752266244,1.7488082272942558,-0.016364489557590255,5,6,0.17973346330281054,0.4451220526469184,1.0,False
2022-02-07,92730.77582491962,-0.006307606611638857,-0.006166503577286667,0.00014110303435219034,-0.08046669854079389,1.6897364207010042,-0.020664447627966105,5,6,0.17916436897311028,0.4451220526469184,1.0,False
2022-02-08,93689.15946110823,0.010335119356685641,0.010358290435624577,2.3171078938936404e-05,-0.07096321211776577,1.6892912093767787,-0.05993249254659053,5,6,0.17938500688985254,0.4451220526469184,1.0,False
2022-02-09,94318.7814606364,0.006720329258472414,0.006739256321050432,1.8927062578017302e-05,-0.06471977900996356,1.6944924003353856,-0.022535541285226897,5,6,0.17888184206719926,0.4451220526469184,1.0,False
2022-02-10,95155.00628296775,0.008865941749685916,0.008930381191770819,6.44394420849027e-05,-0.05642763905103261,1.6441475789690498,0.019007776649037404,6,5,0.1787756100812262,0.4451220526469184,1.0,False
2022-02-11,93139.25249016211,-0.021183896376521478,-0.021105421248357417,7.847512816406124e-05,-0.07641617816912527,1.6408199456918195,-0.03238855891767063,6,5,0.18296169427666523,0.4451220526469184,1.0,False
2022-02-12,93829.95885464658,0.007415846123066432,0.0074584523149290385,4.260619186260666e-05,-0.06956702266467389,1.6363823350796152,0.007372008209124346,7,4,0.1825405372688834,0.4451220526469184,1.0,False
2022-02-13,93100.2692296237,-0.007776723276126255,-0.007728490072141042,4.823320398521284e-05,-0.07680274245639289,1.6255136087686808,-0.0011414848600959059,7,4,0.18218635341960956,0.4451220526469184,1.0,False
