year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2022,0.001500929246157634,-0.04928932277350195,-0.05942222641903705,-0.04122746487133122,0.15059644061322408,0.13091898339221375,-0.17070299334757366,0.009784559061372322,-0.03428020072415139,-0.034239910115859695,0.05773947936691526,0.03613332987377316,-0.043647238169176594
2023,-0.2306736409743224,-0.0199600332728741,-0.00203495863456693,-0.018470109751713704,-0.011306665181019637,0.07429596561714247,-0.007295039775088608,0.024328388046745975,-0.03342272430201232,0.0063824585964586955,-0.1411730630018012,-0.21742584860739678,-0.47850637365210924
2024,0.015165411439969745,-0.11842833318679458,0.020728937771032685,0.022405925978186136,0.0445883002505294,0.09598444235449999,-0.029259628314266872,-0.03597278908372736,-0.1036690366179851,0.03878010644363439,-0.17259349917733124,0.024179822914470517,-0.21049057370603597
2025,0.050113539728224854,0.03972943130214701,0.07516033842082392,-0.08554179904651171,-0.004539832626700879,0.029715017676701372,-0.02442054905800417,0.01660484901717596,-0.02535740371056494,0.1689570863242209,0.052141591389899045,0.04899444522497998,0.372273818872205
