date,nav,daily_ret,gross_ret,cost_pct,drawdown,gross_exp,net_exp,n_long,n_short,port_vol_ann,btc_vol_fast,btc_vol_slow,fast_scale,slow_scale,regime_scale,paused,btc_mom,short_scale,gate_active
2022-01-30,100877.92985168831,0.008779298516882998,0.009339298516882998,0.00056,0.0,0.7999999999999999,-4.163336342344337e-17,8,2,0.24920926687579079,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-01-31,100254.19303821072,-0.00618308498592924,-0.005623084985929241,0.0005600000000000001,-0.0061830849859291675,1.4756255741383828,0.009339298516883046,6,5,0.2480971503438626,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-02-01,100807.12585335379,0.005515308620880545,0.0059546435222514425,0.0004393349013708979,-0.000701877986975141,2.009096151565521,0.0062434011338956125,5,6,0.24692657870100354,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-02-02,99731.96259272532,-0.010665548209285686,-0.010617107097709248,4.844111157643802e-05,-0.011359940282753658,1.974195182131299,-0.057003543310193,5,6,0.24647373819216098,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-02-03,96036.34524187437,-0.037055496099507375,-0.03700662279308593,4.8873306421438344e-05,-0.04799448815942286,1.9712163551999593,0.0021983587655811376,5,6,0.25653097261414837,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-02-04,97707.88377216602,0.017405270120200652,0.017797147925217822,0.0003918778050171711,-0.03142457506991789,2.0611489728253463,0.03219096216559246,5,6,0.2575312091808714,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-02-05,97547.07506009561,-0.0016458110222240837,-0.001258112467230229,0.00038769855499385487,-0.03301866718012313,1.9357564153700642,0.051458959565485185,7,4,0.2560701129049516,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-02-06,93721.26939901151,-0.03922009613027495,-0.03888521364573374,0.00033488248454121623,-0.07094376800950015,1.9657177088562776,-0.07051215416877968,5,6,0.2669598001246701,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-02-07,92878.53191795434,-0.008991955470313442,-0.00881463605482534,0.00017731941548810228,-0.07929780027697594,1.819928914697172,-0.03695379347499679,5,6,0.26606001883708197,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-02-08,93725.38549300663,0.009117861335280107,0.009210422858240579,9.256152296047227e-05,-0.07090296528881414,1.803077375856563,-0.06637404859869894,5,6,0.26518559584026336,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-02-09,94111.76486670891,0.004122462358195452,0.00415775142045108,3.528906225562809e-05,-0.06707279773610625,1.7885137269142253,-0.006750679660989606,5,6,0.26379331940771794,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-02-10,95637.92448696613,0.01621645946623924,0.016267317619289998,5.0858153050757526e-05,-0.05194402157564182,1.757550124272132,-0.07524743259876361,5,6,0.2643674095462911,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-02-11,93440.49893663502,-0.02297650813857408,-0.022819658808904887,0.00015684932966919155,-0.07372703747973293,1.6817104169802284,-0.09732211655183604,6,5,0.26702174621007724,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-02-12,94374.4950133192,0.009995623817436638,0.010037673438812898,4.2049621376259356e-05,-0.06446836139411784,1.6368606445397682,-0.060070887680370395,6,5,0.26627152864077885,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-02-13,93388.98088817128,-0.010442589653156161,-0.010369618014262161,7.297163889399984e-05,-0.07423773440362383,1.6951788657769309,-0.04863035510274592,7,4,0.2655999520754334,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-02-14,92874.10375999978,-0.0055132535260025844,-0.005354055047773041,0.00015919847822954374,-0.07934169647866322,1.8163121687446915,-0.060644773917908915,6,5,0.26431138217874767,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-02-15,92765.29195524972,-0.0011716054351517385,-0.0010954880981398493,7.611733701188918e-05,-0.08042034475098639,1.953461495036746,-0.06598154152900133,6,5,0.2628000097098348,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-02-16,91061.07828236828,-0.018371242486937438,-0.018371242486937438,0.0,-0.09731416558362031,1.9274841839616876,-0.06707702962714122,6,5,0.2639801488649995,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-02-17,90926.35134150364,-0.001479522792898066,-0.0014337397311271233,4.5783061770942784e-05,-0.09864970985046556,1.725714199147047,-0.020043898155589004,6,5,0.2624772173270951,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-02-18,90766.95966649357,-0.0017529755968258426,-0.001448347566788943,0.00030462803003689966,-0.10022975491328966,1.7586839653216382,-0.08829854019649813,6,5,0.260990141725951,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-02-19,91522.24867635494,0.008321188818448167,0.00840587510165028,8.468628320211255e-05,-0.09274259681070167,1.7661459306484175,-0.08345708962622998,6,5,0.26004570076665917,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-02-20,93844.62089984775,0.025374947153071925,0.02550556549274196,0.0001306183396700351,-0.06972098815053995,1.7201481735311388,-0.03877277000270317,6,5,0.2637166393533283,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-02-21,94420.39157924059,0.006135361556922039,0.006395384622964811,0.00026002306604277245,-0.06401339006402747,1.8395565036070098,-0.03248222546539736,7,4,0.26249851241104516,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-02-22,93325.39513814189,-0.011597033466862406,-0.01152486253016039,7.217093670201647e-05,-0.07486805810398997,1.9272778457765332,-0.024485136222345025,7,4,0.26206461169765044,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-02-23,94416.8351063007,0.01169499434257142,0.01173067829191768,3.5683949346260936e-05,-0.06404864527738403,1.8251930882120404,0.014967071742153053,7,4,0.2616532676758266,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-02-24,92637.47115170365,-0.018845833506214455,-0.01870257082854342,0.00014326267767103649,-0.08168742867840235,2.0372613525838985,-0.05776134696870626,7,4,0.2629925165896272,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-02-25,90769.95324068842,-0.020159422400002375,-0.01992668460592157,0.00023273779408080635,-0.10020007969890671,2.0226807116210583,0.009788080642274266,7,4,0.26471575176948814,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-02-26,96828.14366296389,0.06674224460831638,0.06730224460831638,0.0005600000000000001,-0.04014541331962755,1.6300712209531592,0.07456084662004542,4,3,0.29655461221750595,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-02-27,94961.00602101935,-0.01928300565632668,-0.0187206819553796,0.0005623237009470766,-0.05865429474383627,1.3818322533155771,0.0676244116915064,3,4,0.2974783679087494,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-02-28,94086.99171842542,-0.0092039284251103,-0.008652493906919275,0.0005514345181910242,-0.06731837323829899,1.6577297000529163,0.036667327151875595,3,4,0.29636479646353175,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-03-01,93078.38417081241,-0.010719946819337982,-0.010159946819337982,0.0005600000000000001,-0.077316670676558,1.4407817270779482,0.028014833244956294,4,4,0.2954742494232882,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-03-02,92601.04510136772,-0.005128355779884306,-0.004568355779884306,0.0005600000000000001,-0.08204851906149685,1.5373606343664394,0.017854886425618194,5,6,0.2939600449904308,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-03-03,90988.27992502783,-0.017416274023413548,-0.017012104140113823,0.0004041698832997243,-0.09803581359372003,1.7796128969639886,-0.07870146862250671,5,6,0.29443443565056826,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-03-04,91400.55810807597,0.004531113055306108,0.004785791675063659,0.000254678619757551,-0.09394891189327599,1.6205728661952656,-0.0053697036899276185,6,5,0.2928855958659633,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-03-05,91652.51425034805,0.002756614921039537,0.0029154798929954037,0.00015886497195586672,-0.09145127794457679,1.67422280006656,-0.011143176411080369,6,5,0.2912533946281264,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-03-06,91340.5764109152,-0.0034034837121957825,-0.0032899938155384494,0.00011348989665733325,-0.09454350872182872,1.7607589092442617,0.04935555629566796,6,5,0.2896597388447284,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-03-07,93392.60823877814,0.02246572014863844,0.022587588840303607,0.000121868691665167,-0.07420177658200529,1.789161031309163,-0.017612064770269997,6,5,0.2916418871257701,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-03-08,89616.32216333377,-0.04043452845635794,-0.040170754315316776,0.00026377414104116354,-0.11163599119164587,1.6784499032419915,0.08629880328342726,7,4,0.3015499807647405,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-03-09,88830.4432218623,-0.008769372838567767,-0.008769372838567767,0.0,-0.11942638640125096,1.8280961233686162,0.04612804896811057,7,4,0.30035037122211095,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-03-10,89846.59726770024,0.011439254482835533,0.011904632045114622,0.00046537756227908907,-0.10935328074442488,1.701348021726996,0.03662559116856379,6,5,0.299537630343304,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-03-11,91043.46244287987,0.013321207609160005,0.013493528396876293,0.00017232078771628763,-0.09748879089080406,1.7582908391669787,0.05598781882875786,7,4,0.2990588491994723,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-03-12,91075.79387322108,0.0003551208343102281,0.0003551208343102281,0.0,-0.0971682903572509,1.7593485547382417,0.06948134722563429,7,4,0.2973372860414743,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
2022-03-13,92783.72498396049,0.018752854497396804,0.01882303649476066,7.018199736385574e-05,-0.08023761867068445,1.6862375147586552,0.06240796093927675,7,4,0.2981079094773207,0.41072839878814094,0.4451220526469184,1.0,1.0,1.0,False,0.0,1.0,False
