date,ADAUSDT,MKRUSDT,DOTUSDT,NEARUSDT,AAVEUSDT,ATOMUSDT,LINKUSDT,LTCUSDT,AVAXUSDT,XRPUSDT,UNIUSDT,OPUSDT,INJUSDT,APTUSDT,BNBUSDT,BTCUSDT,ETHUSDT,SOLUSDT,FETUSDT,RNDRUSDT,STXUSDT,ARBUSDT,SUIUSDT,WLDUSDT,SEIUSDT,TIAUSDT
2022-01-30,-0.2,0.05341989439523576,0.05341989439523576,0.0,0.05341989439523576,0.05341989439523576,0.047420568400380544,0.05341989439523576,0.03206006522820492,-0.2,0.05341989439523576,,,,,,,,,,,,,,,
2022-01-31,-0.26456446656896493,0.15117733423131047,0.15119424200460144,-0.1809250219990172,0.05655484786438345,-0.007245094243976326,0.14109069226707066,0.14991694703564123,-0.0022984811855869466,-0.2654678466162372,0.07880172844640845,,,,,,,,,,,,,,,
2022-02-01,-0.2755397384456603,0.21333694246026383,0.21333694246026383,-0.2906222451112641,-1.3376390084859053e-05,-0.11242360481310491,0.21333694246026383,0.21333694246026383,-0.0024127139228253703,-0.2906222451112641,0.1467008566416531,,,,,,,,,,,,,,,
2022-02-02,-0.25824613344728936,0.20796098761038795,0.20460838142266288,-0.24534820372422023,-0.038422350178273536,-0.1984370126501968,0.19822966045029344,0.20063279523038635,-0.032836340703180256,-0.24534820372422023,0.13879964865536937,,,,,,,,,,,,,,,
2022-02-03,-0.26683000434167725,0.2230778226764946,0.20617952240943102,-0.24751802662219582,-0.0001120472440005727,-0.24814558548816407,0.20474011975242706,0.20565881552133056,0.004425742157314069,-0.24914920038361596,0.1372933983034691,,,,,,,,,,,,,,,
2022-02-04,-0.18172425877870318,0.2215807213258963,0.2233966090560989,-0.18172425877870318,-0.04681127686024569,-0.18172425877870318,0.21994794939640724,0.20409173327066055,-0.1268057089591735,-0.18172425877870318,0.08534119322217183,,,,,,,,,,,,,,,
2022-02-05,-0.22226547736063756,0.2189073260569707,0.23252886604168888,-0.22226547736063756,0.00689119163017955,-0.22226547736063756,0.13005229336912214,0.20489995067821698,0.006316648345884085,-0.22226547736063756,0.08585304175371651,,,,,,,,,,,,,,,
2022-02-06,-0.20135893509589423,0.21818793969369615,0.2388788941965435,-0.20135893509589423,-0.049971060150504565,-0.20135893509589423,0.20779141224599645,0.21471642460749635,0.006474195303848458,-0.20135893509589423,-0.03798644965696668,,,,,,,,,,,,,,,
2022-02-07,-0.21115982522224608,0.2187517830595059,0.24381053118278803,-0.20159786589992376,-0.0032436258695596994,-0.20370398876330442,0.11570057786805663,0.23111650283582927,0.037290580538402465,-0.2003359428886565,-0.040288757407286054,,,,,,,,,,,,,,,
2022-02-08,-0.20696448016816021,0.21428964331973557,0.23617304027488722,-0.1906518484403205,-0.0032769568970136866,-0.19565736230562494,0.11259258841276869,0.22495384510321134,0.03869844903534348,-0.21114014445530127,-0.07848204423937191,,,,,,,,,,,,,,,
2022-02-09,-0.21047235271338327,0.21832403981647788,0.23926076874193855,-0.19387741429471927,-0.0033493226571544295,-0.19909763334517727,0.11441324495758233,0.23566272575333433,0.04033498407159656,-0.2096690366527001,-0.048997228598432835,,,,,,,,,,,,,,,
2022-02-10,-0.2026809976129381,0.22884933835550605,0.2236257337833359,-0.20697837841757674,0.023157126133928334,-0.1872499583606516,0.10719192034549317,0.22641873915440744,0.019961675046402613,-0.19893718465011767,-0.021078722753022673,,,,,,,,,,,,,,,
2022-02-11,-0.21200135615734045,0.22003153015134094,0.20681234308465707,-0.21200135615734045,0.021596580287185432,-0.21200135615734045,0.12844671233714028,0.2113656899386686,0.017894333165568373,-0.21200135615734045,0.004241368530448471,,,,,,,,,,,,,,,
2022-02-12,-0.2078171188647614,0.19489858669508506,0.20518664859140393,-0.21090655018677507,0.021445943346856313,-0.2158502639756326,0.12654250510007106,0.21325153055630033,0.041023835934434295,-0.20689813317652841,0.02557646551825268,,,,,,,,,,,,,,,
2022-02-13,-0.2045954525925409,0.18813276839504497,0.20427014968245585,-0.20271505551415187,0.05077048209492204,-0.20883119764310398,0.1237814046063207,0.19003157468415882,0.03931240590960372,-0.20259509489226832,0.0454631789398196,,,,,,,,,,,,,,,
2022-02-14,-0.20600984266327182,0.18920825974331726,0.20388827513706081,-0.20635137534495832,0.05167004135497255,-0.1944448044353714,0.12612199266855162,0.1883972849831006,-0.05435939566107248,-0.201487880362985,0.06733709671852353,,,,,,,,,,,,,,,
