date,nav,daily_ret,gross_ret,cost_pct,drawdown,gross_exp,net_exp,n_long,n_short,port_vol_ann,btc_vol,regime_scale,paused
2022-01-30,100767.48812356334,0.007674881235633268,0.008234881235633268,0.0005600000000000001,0.0,0.8,6.938893903907228e-18,8,2,0.14996170421391794,0.4451220526469184,1.0,False
2022-01-31,99962.41649065098,-0.007989398643391394,-0.007429398643391394,0.0005600000000000001,-0.007989398643391375,1.4492367024631982,0.008234881235633124,6,5,0.1499927063822567,0.4451220526469184,1.0,False
2022-02-01,99858.95999217003,-0.0010349539568265814,-0.0006061387537434661,0.00042881520308311525,-0.009016083940479402,1.971682550276912,0.02841470268850471,5,6,0.149143867265677,0.4451220526469184,1.0,False
2022-02-02,98442.10532532599,-0.014188558212053653,-0.014025165939749801,0.00016339227230385082,-0.02307671692069878,1.9688697177964805,-0.06840677105828041,5,6,0.15110390633051554,0.4451220526469184,1.0,False
2022-02-03,94983.15013884557,-0.035136948514555406,-0.03506651608904121,7.04324255141977e-05,-0.05740282002092666,1.9931302849001202,-0.03037944325918729,6,5,0.16657153193948446,0.4451220526469184,1.0,False
2022-02-04,96477.78385171022,0.015735777458210205,0.01618536620037642,0.0004495887421662155,-0.04257032056403932,1.8548722272054667,0.0538441853370029,5,6,0.16871715952160332,0.4451220526469184,1.0,False
2022-02-05,96139.27704249558,-0.0035086503410457093,-0.0031975479695579663,0.000311102371487743,-0.0459296065353196,1.774511227318329,-0.00361259156677142,7,4,0.16789918657648595,0.4451220526469184,1.0,False
2022-02-06,93298.61030736857,-0.029547411032344054,-0.02928980522727396,0.0002576058050700958,-0.07411991660481074,1.779442116238629,-0.007344384143467192,5,6,0.17755704158692487,0.4451220526469184,1.0,False
2022-02-07,92706.75350801661,-0.006343682905909405,-0.006185629348014115,0.0001580535578952897,-0.07999340626276673,1.706999981535559,-0.013660030566394234,5,6,0.177011585541609,0.4451220526469184,1.0,False
2022-02-08,93628.30057879892,0.009940452404070203,0.00996818613138201,2.773372731180652e-05,-0.07084812450629098,1.7128804026517388,-0.05946527035984622,5,6,0.17716509319755938,0.4451220526469184,1.0,False
2022-02-09,94256.76485757198,0.006712332434615999,0.006734753336131478,2.2420901515478702e-05,-0.0646113482357302,1.7134587516024966,-0.017467224920637514,5,6,0.17668006085889115,0.4451220526469184,1.0,False
2022-02-10,95212.7264138907,0.010142100227641285,0.010231011687886666,8.891146024538028e-05,-0.05512454277773858,1.6461297746133805,0.012279291024766707,6,5,0.1768856609208138,0.4451220526469184,1.0,False
2022-02-11,93174.1347112538,-0.021410916160252695,-0.021294469215152104,0.0001164469451005919,-0.07535519197420493,1.658393982124371,-0.037616867134352625,7,4,0.1812486145924017,0.4451220526469184,1.0,False
2022-02-12,93864.86357472338,0.007413311275818525,0.007476015844367844,6.270456854931936e-05,-0.06850051219274024,1.6693975819461013,-0.013546550461293803,7,4,0.18084284675495232,0.4451220526469184,1.0,False
2022-02-13,93276.70472507371,-0.006266017200157734,-0.006215664584961787,5.03526151959463e-05,-0.07433730400527859,1.6604987649543907,0.02302516367026066,7,4,0.1802584300068233,0.4451220526469184,1.0,False
2022-02-14,93294.6371272919,0.00019224952544198576,0.00028918688870603875,9.693736326405299e-05,-0.07415934579125416,1.6892762490731854,-0.03603034786213266,6,5,0.17922065013542557,0.4451220526469184,1.0,False
