date,nav,daily_ret,gross_ret,cost_pct,drawdown,gross_exp,net_exp,n_long,n_short,port_vol_ann,portfolio_beta,paused
2022-01-30,100894.33691054274,0.008943369105427448,0.009503369105427447,0.0005600000000000001,0.0,0.8000000000000002,-6.938893903907228e-18,9,2,0.15025607595257043,2.7755575615628914e-17,False
2022-01-31,100534.5769346435,-0.0035657102956949986,-0.0030057102956949984,0.0005600000000000001,-0.003565710295695014,0.8,7.632783294297951e-17,6,5,0.14956896017521387,-0.11993418338272174,False
2022-02-01,100695.14083205324,0.0015971012392495,0.0021571012392495002,0.0005600000000000001,-0.0019743038567776234,0.8000000000000002,3.469446951953614e-17,6,5,0.14874345730859886,-0.15549919061353437,False
2022-02-02,100077.13634038683,-0.00613738147203304,-0.0055773814720330404,0.0005600000000000001,-0.008099568272899947,0.8000000000000002,-1.3877787807814457e-17,5,6,0.14841970748001004,-0.18897014661590136,False
2022-02-03,98783.73870631812,-0.012924007234475024,-0.012364007234475024,0.0005600000000000002,-0.020918896628419937,0.8000000000000003,-2.7755575615628914e-17,7,4,0.1499187953867862,-0.16682567496559444,False
2022-02-04,99404.77894655397,0.006286867133893198,0.006846867133893198,0.00056,-0.01476354381821726,0.7999999999999999,1.1796119636642288e-16,5,6,0.1496101369002708,-0.25471163697169835,False
2022-02-05,99253.99576353359,-0.0015168605032707203,-0.0009568605032707204,0.0005600000000000001,-0.01625801008498177,0.8,-5.551115123125783e-17,7,4,0.14878086662261647,-0.19139504877097885,False
2022-02-06,97898.00601491112,-0.013661815206442933,-0.013101815206442933,0.00056,-0.029697711362019194,0.7999999999999999,3.469446951953614e-18,5,6,0.15054561967462163,-0.23644627433528898,False
2022-02-07,97598.0623916708,-0.0030638379212200744,-0.0025038379212200743,0.0005600000000000001,-0.03267056030899495,0.8000000000000002,-2.0816681711721685e-17,6,5,0.14980994584816848,-0.22185513063197,False
2022-02-08,97999.005992766,0.004108110256187004,0.0046681102561870035,0.00056,-0.028696664316688675,0.7999999999999999,2.7755575615628914e-17,6,5,0.14918442560448736,-0.21499873807042372,False
2022-02-09,98247.99233102294,0.0025407026911610357,0.003100702691161036,0.0005600000000000001,-0.026228871317784355,0.8,2.7755575615628914e-17,6,5,0.14841638556781397,-0.20799429843683664,False
2022-02-10,98697.59350012097,0.004576186835281064,0.005136186835281064,0.0005600000000000001,-0.02177271269813186,0.8000000000000002,8.847089727481716e-17,6,5,0.1478587558708473,-0.20641661641815995,False
2022-02-11,97652.73513226824,-0.01058646245363066,-0.01002646245363066,0.0005600000000000001,-0.032128679146270094,0.8000000000000002,-4.5102810375396984e-17,7,4,0.14859662326664477,-0.1981586416746021,False
