date,monthly_ret
2022-01,0.0053457693464351586
2022-02,-0.03201478994137674
2022-03,-0.03714541357501988
2022-04,-0.03994202010019532
2022-05,0.052443497856021315
2022-06,0.0671518346199087
2022-07,-0.1259140734262738
2022-08,-0.03318097992736957
2022-09,-0.04188108972905802
2022-10,-0.03131445705970848
2022-11,0.005612925933116797
2022-12,0.007848570212409589
2023-01,-0.16381738600865925
2023-02,-0.023603743738691008
2023-03,-0.02272587816382532
2023-04,-0.03842364793700115
2023-05,-0.011215667140205499
2023-06,0.03168665095037282
2023-07,-0.03991630574336602
2023-08,-0.013459200205765187
2023-09,-0.03452932011526011
2023-10,-0.0003827897878563302
2023-11,-0.08561365822903788
2023-12,-0.1293505780256965
2024-01,-0.01759977500235088
2024-02,-0.07922946919582263
2024-03,-0.022142794001136612
2024-04,-0.026424466857340678
2024-05,0.03057288304166539
2024-06,0.029083766794936405
2024-07,-0.02738727204546243
2024-08,-0.03561139490440213
2024-09,-0.09229265054921165
2024-10,-0.0023518232062333944
2024-11,-0.11354393172237986
2024-12,0.03707847693391897
2025-01,0.017915160080145487
2025-02,-0.004433406613214341
2025-03,0.04124895680575502
2025-04,-0.07462836008244467
2025-05,-0.005695471679698749
2025-06,0.010299549271463482
2025-07,-0.025756269412686272
2025-08,0.0035290734483479635
2025-09,-0.027910424424912872
2025-10,0.0899419243023003
2025-11,0.000942960406863369
2025-12,0.018610797300600224
