date,nav,daily_ret,gross_ret,cost_pct,drawdown,gross_exp,net_exp,n_long,n_short,port_vol_ann,btc_vol,regime_scale,paused
2022-01-30,100845.47854630744,0.008454785463074278,0.009014785463074278,0.00056,0.0,0.7999999999999999,-6.938893903907228e-18,8,2,0.15013744105519672,0.4451220526469184,1.0,False
2022-01-31,100218.85689358428,-0.006213681185869015,-0.005653681185869015,0.0005600000000000001,-0.006213681185869125,1.4667778233832824,0.009014785463074201,6,5,0.14981391807391248,0.4451220526469184,1.0,False
2022-02-01,100546.15674094757,0.0032658509337302453,0.0036939449819046325,0.00042809404817438723,-0.0029681232086416474,1.9849794685528157,0.017504705527668557,5,6,0.14910107762439181,0.4451220526469184,1.0,False
2022-02-02,99098.8261299172,-0.014394688548457844,-0.014290225583096233,0.00010446296536161159,-0.017320086547937666,1.9561523343780343,-0.05195804843270661,5,6,0.15114389265479802,0.4451220526469184,1.0,False
2022-02-03,95554.93052940803,-0.0357612268369676,-0.03572191944720526,3.9307389762340195e-05,-0.052461925841028496,1.9694737825868047,-0.010094860069602585,5,6,0.16716332695888877,0.4451220526469184,1.0,False
2022-02-04,97090.2109299743,0.016066993006643163,0.01654057289743623,0.0004735798907930665,-0.03723783822998813,1.8911901651866474,0.07764051935024015,5,6,0.16942513035881135,0.4451220526469184,1.0,False
2022-02-05,96865.4311985204,-0.0023151636946800495,-0.0019262534024936267,0.00038891029218642275,-0.039466790233529746,1.8009262711231888,0.030232635741855335,7,4,0.1685160000962489,0.4451220526469184,1.0,False
2022-02-06,93651.78762511845,-0.033176371938258994,-0.03294284358298464,0.0002335283552743521,-0.07133379725979189,1.90125407148181,-0.06424960446052633,5,6,0.18079243405092013,0.4451220526469184,1.0,False
2022-02-07,93087.71511398422,-0.006023083226047764,-0.005861402409507865,0.0001616808165398994,-0.07692723108811385,1.7697620883063099,-0.04675209851351367,5,6,0.18017370471447747,0.4451220526469184,1.0,False
2022-02-08,93935.21661112236,0.009104332361154066,0.00917979646283448,7.546410168041228e-05,-0.06852326980640919,1.7366910617945626,-0.05840278120342855,5,6,0.18010330748517325,0.4451220526469184,1.0,False
2022-02-09,94717.30359759003,0.008325812349008484,0.008325812349008484,0.0,-0.060767969343349396,1.771092911162346,-0.04922298474059404,5,6,0.1798756257362997,0.4451220526469184,1.0,False
2022-02-10,95498.64751352205,0.008249220430213996,0.008301434105748014,5.2213675534018646e-05,-0.053020037287345126,1.5920778727619151,0.03369379265701254,5,6,0.1796354620128579,0.4451220526469184,1.0,False
2022-02-11,93987.28973160412,-0.01582596006612479,-0.01582596006612479,0.0,-0.06800690436065601,1.4817774035241442,0.04199522676276059,5,6,0.18151663195012213,0.4451220526469184,1.0,False
2022-02-12,94522.10220636937,0.0056902638249543,0.005728092375941,3.7828550986700375e-05,-0.06270361776343225,1.4810105758804786,0.08021005382049344,6,5,0.18084686864151722,0.4451220526469184,1.0,False
2022-02-13,93728.24821370724,-0.008398607036150302,-0.008398607036150302,0.0,-0.0705756017542425,1.4495537507277825,0.08593814619643443,6,5,0.18062571957122814,0.4451220526469184,1.0,False
2022-02-14,93532.96837837472,-0.002083468314560477,-0.002018731575917651,6.473673864282565e-05,-0.072512028038767,1.5407669198693188,-0.014941516043752476,5,6,0.1796360528264568,0.4451220526469184,1.0,False
2022-02-15,93540.23808243663,7.772344006541605e-05,0.0002086532897469964,0.00013092984968158036,-0.07243994048296674,1.725211850022394,-0.07693128466866281,6,5,0.1786014961956915,0.4451220526469184,1.0,False
2022-02-16,92135.97864152936,-0.01501235692461778,-0.01501235692461778,0.0,-0.08636480316545615,1.7037630366835534,-0.0767226313789158,6,5,0.18021362282779985,0.4451220526469184,1.0,False
2022-02-17,91994.00984405068,-0.001540861665246234,-0.0014915245963081727,4.933706893806152e-05,-0.08777258861627821,1.5124651762615962,-0.02125346124916001,6,5,0.1792034431912964,0.4451220526469184,1.0,False
2022-02-18,91839.75930889952,-0.0016767454251928747,-0.001495005276555659,0.0001817401486372158,-0.08930216175505144,1.5115913740321703,-0.058973631974393675,6,5,0.17820438133666958,0.4451220526469184,1.0,False
2022-02-19,92473.36707380717,0.0068990573328545435,0.0069700142734509234,7.095694059638018e-05,-0.08301920515609297,1.5270906039973646,-0.06445702696930244,6,5,0.17774022716208068,0.4451220526469184,1.0,False
2022-02-20,94313.51115571822,0.019899178975957135,0.020031609499151618,0.00013243052319448449,-0.06477204020197877,1.4527781031628229,-0.007936883931890723,6,5,0.18135274037681243,0.4451220526469184,1.0,False
2022-02-21,94638.75179683491,0.003448505279160883,0.003689625958090812,0.00024112067892992925,-0.06154690164539647,1.5954188514588439,-0.044547628054434754,7,4,0.18044642631645696,0.4451220526469184,1.0,False
2022-02-22,93761.51440371948,-0.009269325476720516,-0.009269325476720516,0.0,-0.07024572885868208,1.6682256216653886,-0.04085800209634399,7,4,0.18040823139383247,0.4451220526469184,1.0,False
2022-02-23,94773.53924659395,0.010793605983334153,0.010829962951055414,3.635696772125956e-05,-0.06021032759466057,1.675945070669512,0.0018111977430206386,7,4,0.18072552377508772,0.4451220526469184,1.0,False
2022-02-24,93274.40151531107,-0.015818104327435144,-0.015696010170736158,0.00012209415669898568,-0.07507601867861426,1.7565601208491854,-0.052774747471800776,7,4,0.18258025456856738,0.4451220526469184,1.0,False
2022-02-25,91748.9907073801,-0.01635401335360561,-0.016125992238159033,0.0002280211154465764,-0.09020223782021423,1.711023576345335,0.008777431057526333,7,4,0.18459124131058022,0.4451220526469184,1.0,False
2022-02-26,97039.33346337336,0.05766104580775193,0.0581819972922657,0.0005209514845137707,-0.03774234737937531,1.4513093295962674,0.06459465442216072,4,3,0.21822321508203124,0.4451220526469184,1.0,False
2022-02-27,94748.02947254675,-0.0236121159229875,-0.02313330305676569,0.0004788128662218097,-0.06046328662083529,1.3286491132409803,0.006795032031297332,3,4,0.22228760876940978,0.4451220526469184,1.0,False
2022-02-28,94055.82897269941,-0.007305698110037367,-0.006899982204280447,0.0004057159057569191,-0.0673272582120801,1.326399995979505,-0.05085363351464439,2,5,0.22151297767652503,0.4451220526469184,1.0,False
2022-03-01,93177.05839209702,-0.009343074110350676,-0.008783074110350677,0.0005600000000000001,-0.07604128875930849,1.1546195193309488,-0.057753615718924706,4,4,0.22106644031082226,0.4451220526469184,1.0,False
2022-03-02,93066.59375282687,-0.0011855347354421397,-0.0006255347354421396,0.0005600000000000001,-0.07713667390559871,1.3181079903866881,-0.06653668982927537,5,6,0.21980659523180715,0.4451220526469184,1.0,False
2022-03-03,92284.17277568448,-0.008407108776543428,-0.008407108776543428,0.0,-0.08489528627395701,1.3004523635414849,-0.06716222456471754,5,6,0.2192174954457118,0.4451220526469184,1.0,False
2022-03-04,92657.80508972192,0.004048714994126256,0.004257083838534063,0.00020836884440780714,-0.08119028809829883,1.2944983174080316,0.01712232006128861,6,5,0.2181124903181707,0.4451220526469184,1.0,False
2022-03-05,92958.74212204201,0.003247832516955193,0.003456085049157922,0.0002082525322027287,-0.07820614803909035,1.3061670840522406,-0.07626118248908895,6,5,0.21695819470008643,0.4451220526469184,1.0,False
2022-03-06,93156.344235751,0.0021256969403648097,0.0021256969403648097,0.0,-0.07624669366832983,1.2463224415489642,-0.07280509743993102,6,5,0.21575251325332223,0.4451220526469184,1.0,False
2022-03-07,94725.85837635504,0.016848172322349583,0.016923886604910406,7.571428256082242e-05,-0.06068313877991381,1.329354462169272,-0.06358853493141176,6,5,0.21726605338762903,0.4451220526469184,1.0,False
2022-03-08,91543.2221820411,-0.0335983885378902,-0.03342399936643278,0.00017438917145741776,-0.09224267164337772,1.327901296312323,0.07345413339948148,7,4,0.22670449011152463,0.4451220526469184,1.0,False
2022-03-09,90707.57763388696,-0.009128415280078263,-0.009128415280078263,0.0,-0.10052905751015136,1.4466918658894006,0.04003013403304867,7,4,0.22617238442162574,0.4451220526469184,1.0,False
2022-03-10,91341.94878028939,0.0069935849126395696,0.007333927897439387,0.0003403429847998174,-0.09423853109739676,1.3408884541881096,-0.014908046466703628,6,5,0.2253251975942993,0.4451220526469184,1.0,False
2022-03-11,92293.83798196919,0.01042116151878313,0.010536986650295815,0.00011582513151268591,-0.08479944453247253,1.3700792316384576,0.016852814162503865,7,4,0.22504128551102126,0.4451220526469184,1.0,False
2022-03-12,92443.35707843548,0.001620033360141479,0.001620033360141479,0.0,-0.08331678910139505,1.3706353200247392,0.02738980081279971,7,4,0.22376972984558,0.4451220526469184,1.0,False
2022-03-13,93661.90392470406,0.013181551219896509,0.013181551219896509,0.0,-0.07123348240451587,1.3197898393910525,0.0290098341729412,7,4,0.22411201675114,0.4451220526469184,1.0,False
