date,ADAUSDT,MKRUSDT,DOTUSDT,NEARUSDT,AAVEUSDT,ATOMUSDT,LINKUSDT,LTCUSDT,AVAXUSDT,XRPUSDT,UNIUSDT,OPUSDT,INJUSDT,APTUSDT,BNBUSDT,BTCUSDT,ETHUSDT,SOLUSDT,FETUSDT,RNDRUSDT,STXUSDT,ARBUSDT,SUIUSDT,WLDUSDT,SEIUSDT,TIAUSDT
2022-01-30,-0.2,0.05621345341457825,0.05621345341457825,0.0,0.05621345341457825,0.049235214389893214,0.04158366377117221,0.05621345341457825,0.028113854766043344,-0.2,0.05621345341457825,,,,,,,,,,,,,,,
2022-01-31,-0.2561803440609064,0.16360102242533328,0.16361795125743508,-0.1742452360939849,0.059512347259087994,-0.02758017821727466,0.12747607768556796,0.16233906540405527,-0.013810444823919733,-0.2570653157640185,0.061349840391698815,,,,,,,,,,,,,,,
2022-02-01,-0.26680780647865665,0.22547511667624617,0.22547511667624617,-0.26806297551057834,-2.0563434653604104e-05,-0.17282805274299493,0.1956103573977815,0.22547511667624617,-0.014496813250430785,-0.2615211700952594,0.12920637961372225,,,,,,,,,,,,,,,
2022-02-02,-0.237758658200477,0.21979328757977937,0.21624992906610976,-0.24686840583637115,-0.0556770979099943,-0.21331765335665023,0.18175836908670964,0.21204814502335315,-0.01274728247954743,-0.23768609362233034,0.12224741221671191,,,,,,,,,,,,,,,
2022-02-03,-0.2456615437104061,0.23577022111505222,0.2179104628359343,-0.24905167317495167,-0.0001866819542543896,-0.2406502699314067,0.18772786155354423,0.2173601294290962,-0.012865765630360572,-0.24136838692682422,0.12092078632497413,,,,,,,,,,,,,,,
2022-02-04,-0.16754781225889825,0.2341879395945172,0.23610714539692837,-0.16827057370666607,-0.07095626263179186,-0.167276854786647,0.20167204279846682,0.2375887932915569,-0.1652739480399,-0.16744937149430042,0.07485942118697443,,,,,,,,,,,,,,,
2022-02-05,-0.22133670442266667,0.23136243687927602,0.24575899793403355,-0.22133670442266667,0.0059945496506501545,-0.22133670442266667,0.11313064149426504,0.238529661378183,0.0054947626139534205,-0.22133670442266667,0.07530840348216084,,,,,,,,,,,,,,,
2022-02-06,-0.2110428975720315,0.23060211978499293,0.25247032192040775,-0.21856588890357545,-0.07309078987184026,-0.21136553776309486,0.17984069298486394,0.24995728834699563,0.005631810473381721,-0.21312537292085518,-0.05556135093977099,,,,,,,,,,,,,,,
2022-02-07,-0.22131514225819535,0.2311980439940256,0.2576825529201348,-0.21882523733300716,-0.005133267025447668,-0.2138271296922507,0.09763872884169843,0.2690490699381165,0.005936599202422784,-0.19022746722301292,-0.05892884987799801,,,,,,,,,,,,,,,
2022-02-08,-0.20366564243360452,0.2264820230984049,0.24961051376126547,-0.19430081275735736,-0.004869181339309376,-0.19283310165299858,0.0950159231024412,0.26187495077759265,0.006160729555862818,-0.18823799341963912,-0.11364018989608661,,,,,,,,,,,,,,,
